file_path,github_url,logging_statement,commit_id,length_of_static_text,num_variables,tokens,containing_block_type,exception_type,num_logging_statements,num_lines_of_code_in_file
app/src/main/java/app/crossword/yourealwaysbe/net/PageScraper.java,https://github.com/yourealwaysbe/forkyz,"System.err.println(""Exception downloading "" + url\n                                + "" for "" + this.sourceName)",d30936f076a9b57fd517a69b2f0278ba35dad44b,111,0,4,CatchClause,"I,O,E,x,c,e,p,t,i,o,n",0,262
app/src/main/java/app/crossword/yourealwaysbe/net/Downloaders.java,https://github.com/yourealwaysbe/forkyz,"System.out.println(""FORKYZ: has connection "" + hasConnection)",021b79b8dc4839d4860b32bfa2302462bddddfe7,61,0,2,MethodDeclaration,None,1,643
app/src/main/java/app/crossword/yourealwaysbe/view/PlayboardRenderer.java,https://github.com/yourealwaysbe/forkyz,"System.out.println(""FORKYZ: draw p "" + row + "" "" + col)",021b79b8dc4839d4860b32bfa2302462bddddfe7,55,0,4,IfStatement,None,1,1467
app/src/main/java/app/crossword/yourealwaysbe/net/Downloaders.java,https://github.com/yourealwaysbe/forkyz,"System.out.println(""FORKYZ: has connection "" + hasConnection)",d98089436ada3a1d5ebdda7d694a736bc72bd682,61,0,2,MethodDeclaration,None,1,555
app/src/main/java/app/crossword/yourealwaysbe/view/PlayboardRenderer.java,https://github.com/yourealwaysbe/forkyz,"LOG.warning(""New bitmap box size ""+boxSize)",25e5b219a0a67479ca2f9cabc0e7c6004ca1b374,43,0,2,IfStatement,None,1,1269
app/src/main/java/app/crossword/yourealwaysbe/view/PlayboardRenderer.java,https://github.com/yourealwaysbe/forkyz,"System.out.println(""FORKYZ: draw p "" + row + "" "" + col)",25e5b219a0a67479ca2f9cabc0e7c6004ca1b374,55,0,4,IfStatement,None,1,1436
app/src/main/java/app/crossword/yourealwaysbe/net/PageScraper.java,https://github.com/yourealwaysbe/forkyz,"System.err.println(""Exception downloading "" + url\n                            + "" for "" + this.sourceName)",0c411b942f10b78614f058c79b79aafa41e64873,107,0,4,CatchClause,"I,O,E,x,c,e,p,t,i,o,n",0,244
app/src/main/java/app/crossword/yourealwaysbe/view/PlayboardRenderer.java,https://github.com/yourealwaysbe/forkyz,"LOG.warning(""getDeviceMinScale ""+retValue)",c50328ffda99219f1c4600cefc2e6addfb3c9851,42,0,2,MethodDeclaration,None,1,1209
app/src/main/java/app/crossword/yourealwaysbe/net/GuardianDailyCrypticDownloader.java,https://github.com/yourealwaysbe/forkyz,"LOG.info(""Downloading "" + url)",6a9b90f2a01e6e02a3bf53dd529c93aee93f0359,30,0,2,TryStatement,"H,t,t,p,S,t,a,t,u,s,E,x,c,e,p,t,i,o,n",1,182
app/src/main/java/app/crossword/yourealwaysbe/net/GuardianDailyCrypticDownloader.java,https://github.com/yourealwaysbe/forkyz,"LOG.info(""Could not download "" + url)",6a9b90f2a01e6e02a3bf53dd529c93aee93f0359,37,0,2,CatchClause,"H,t,t,p,S,t,a,t,u,s,E,x,c,e,p,t,i,o,n",1,182
